title,course1
抽象数据类型,数据结构与算法
伪随机数生成器,概率论与数理统计
蒙地卡罗方法,概率论与数理统计
时间序列模型,概率论与数理统计
等候理论,概率论与数理统计
随机控制,最佳控制
鞅论,概率论与数理统计
细胞自动机,理论计算机科学
Lambda演算,理论计算机科学
类型论,理论计算机科学
超光速航行,航天工程与空间探测
伪随机性,概率论与数理统计
随机化算法,数据结构与算法
随机数生成,概率论与数理统计
随机过程,概率论与数理统计
噪声,信息论与编码理论
图灵机,理论计算机科学
形式方法,软件工程
模型检查,软件工程
自动机,理论计算机科学
逻辑演算,逻辑与人工智能基础
面向文档的数据库,数据库系统原理
超光速,航天工程与空间探测
机率复杂度理论,理论计算机科学
统计随机性,概率论与数理统计
Acid测试,数据库系统原理
缺陷和问题跟踪软件,软件工程
软件审查,软件工程
软件测试工具,软件工程
反向代理,计算机网络
分布式版本控制系统,软件工程
自由版本控制软件,版本控制系统
项目托管网站,软件工程
NoSQL,数据库系统原理
SQL关键字,数据库系统原理
小行星探测器,航天工程与空间探测
时间旅行,科幻
目的论,哲学
随机性,概率论与数理统计
软件测试,软件工程
静态代码分析工具,软件工程
动态规划,数据结构与算法
机器学习算法,机器学习与人工智能
估计理论,统计随机性
信息学熵,信息论与编码理论
字符串相似性度量,数据结构与算法
数据压缩,信息论与编码理论
检测论,信息论与编码理论
算法信息论,理论计算机科学
编码理论,信息论与编码理论
网络性能,计算机网络
Wiki软件,内容管理系统
协作软件,软件工程
版本控制系统,版本控制系统
自由内容管理系统,内容管理系统
开放源码内容管理系统,内容管理系统
SQL,数据库系统原理
对象关系映射,数据库系统原理
数据库索引技术,数据库系统原理
开源数据库管理系统,数据库系统原理
自动驾驶汽车,机器人学
先驱者系列,航天工程与空间探测
冥王星探测器,航天工程与空间探测
土星探测器,航天工程与空间探测
天王星探测器,航天工程与空间探测
探索者系列,航天工程与空间探测
探险者计划,航天工程与空间探测
旅行者系列,航天工程与空间探测
行星探测车,航天工程与空间探测
计划中的太空探测器,航天工程与空间探测
因果律,哲学
软件质量,软件工程
回归分析,统计随机性
数学优化软件,数学优化
最佳控制,最佳控制
算法,数据结构与算法
信息论,信息论与编码理论
内容管理系统,内容管理系统
推荐系统,机器学习与人工智能
数据库管理系统,数据库系统原理
管理信息系统,信息系统
系统软件,操作系统
概率分布,概率论与数理统计
统一塑模语言,软件工程
中国机器人,机器人学
日本机器人,机器人学
美国机器人,机器人学
导弹制导,机器人学
无人机,无人载具
无人机制造商,无人载具
潜艇机器人,无人载具
无人地面载具,无人载具
空间探测器,航天工程与空间探测
军用机器人,机器人学
Prolog,逻辑编程
小组过程,团队合作
归纳推理,逻辑与人工智能基础
软件度量,软件工程
静态程序分析,软件工程
系统功能语言学,形式科学与数理逻辑
数学优化,数学优化
变异数分析,统计随机性
理论计算机科学,理论计算机科学
信息系统,信息系统
数学模型,科学建模
科学建模,科学建模
集合论系统,形式科学与数理逻辑
中国机器人学,机器人学
各国机器人学家,机器人学
日本机器人学,机器人学
美国机器人学,机器人学
3D打印,计算机图形学与3D打印
工业机器人,机器人学
